Wine Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Bottle Image,One Liner Description,Vintage,Soil Type,Grape Variety,Wine Type,Price of Bottle,Long decription,Winemaking Method,Ageing,Tasting Notes,Food Pairing,Expert Ratings,Soil_Text,VariantID,AltName
Badia a Coltibuono Chianti Classico Riserva 2019,badia-a-coltibuono-chianti-classico-riserva-2019-0c5f8,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2743fb10441f8100dfaf,Thu Dec 12 2024 18:11:15 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2743fb10441f8100df18_6734e1e8e9f60b9673bdb82d_Badia%2520a%2520Coltibuono%2520Chianti%2520Classico%2520Riserva%25202019.png,,2021,clay-limestone,sangiovese; canaiolo,red,298,,Kimmeridgian limestone,Stainless steel,12 months (partial oak),"Green apple, citrus, flint, saline, Shellfish, white fish, goat cheese",91–93 (Burghound),,354681,Badia a Coltibuono Chianti Classico Riserva 2019
Barone Ricasoli 'Brolio Riserva' Chianti Classico DOCG 1969,barone-ricasoli-brolio-riserva-chianti-classico-docg-1969,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274199b4070c0ac4eb85,Thu Dec 12 2024 18:11:13 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:57:40 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:57:40 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274199b4070c0ac4eb3d_67320837257506d26ea2a547_Barone%2520Ricasoli%2520_Brolio%2520Riserva_%2520Chianti%2520Classico%2520DOCG%25201969.png,,1969,galestro; limestone,sangiovese; canaiolo,red,459,,Traditional fermentation,24 months in large oak casks,"Dried red fruits, leather, earth, and spice","Roasted meats, aged Pecorino, tomato dishes",Historic vintage,,354683,Barone Ricasoli 'Brolio Riserva' Chianti Classico DOCG 1969
Barone Ricasoli Chianti Riserva 1969,barone-ricasoli-chianti-riserva-1969,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2741323f34ba9d24f062,Thu Dec 12 2024 18:11:13 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2741323f34ba9d24f042_673207748570af8dd7bb7e3f_Barone%2520Ricasoli%2520_Brolio%2520Riserva_%2520Chianti%2520Classico%2520DOCG%25201969.jpeg,,1969,galestro; limestone,sangiovese; canaiolo,red,599,,Traditional fermentation,24 months in large oak casks,"Dried cherry, leather, spice, earthy notes","Aged cheeses, roasted lamb, tomato-based dishes",Historic; collectible vintage,,354685,Barone Ricasoli Chianti Riserva 1969
Bersano Barolo 1978,bersano-barolo-1978,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2741fd842a9391306395,Thu Dec 12 2024 18:11:13 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2741fd842a9391306354_67320837c0514bb1b0f01d1b_Bersano%2520Barolo%25201978.png,,1978,clay-limestone,nebbiolo,red,699,,Extended maceration,36 months in large oak barrels,"Roses, tar, dried cherries, forest floor","Truffle dishes, braised beef, hard cheeses",Highly regarded classic,,354687,Bersano Barolo 1978
Bertolo Barbaresco Riserva Speciale 1964,bertolo-barbaresco-riserva-speciale-1964,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2742cc258dc50627a7ea,Thu Dec 12 2024 18:11:14 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2742cc258dc50627a7b7_6732083ae46264bdf92fa889_Bertolo%2520Barbaresco%2520Riserva%2520Speciale%25201964.png,,1964,clay-limestone,nebbiolo,red,668,,Traditional fermentation,36+ months in large oak casks,"Tobacco, dried flowers, red currants, licorice","Wild game, mushroom dishes, aged cheeses",Exceptional for aging,,354689,Bertolo Barbaresco Riserva Speciale 1964
Billaud Simon Chablis Tête d'Or 2021,billaud-simon-chablis-tete-dor-2021,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2742af55d8f98b65528e,Thu Dec 12 2024 18:11:14 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2742af55d8f98b65522f_6734e1e8456701bbd0f3677b_Billaud%2520Simon%2520Chablis%2520Te%25CC%2582te%2520d%2527Or%25202021.png,,2021,kimmeridgian-limestone,chardonnay,white,338,,"Stainless steel, partial oak",12 months (partial oak),"Green apple, citrus, flint, saline","Shellfish, white fish, goat cheese",91–93 (Burghound),,354691,Billaud Simon Chablis Tete d'Or 2021
Blank Canvas Anandale Farm Riesling 2023,blank-canvas-anandale-farm-riesling-2023,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2742d05f410629a6b073,Thu Dec 12 2024 18:11:14 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),,,2023,gravel; loam; clay,riesling,white,248,,Stainless steel fermentation,Short lees aging,"Lime zest, white peach, floral notes, crisp acidity","Spicy Asian cuisine, seafood, salads",Recent vintage (high expectations),,354693,Blank Canvas Anandale Farm Riesling 2023
Blank Canvas Anthem Vineyard Pinot Noir 2019,blank-canvas-anthem-vineyard-pinot-noir-2019,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274487e870338563213b,Thu Dec 12 2024 18:11:16 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274387e8703385631fc6_6734e1e96684bfa6b30ad947_Blank%2520Canvas%2520Anthem%2520Vineyard%2520Pinot%2520Noir%25202019.png,,2019,clay; loam,pinot-noir,red,355,,Wild yeast fermentation,12 months in French oak (25% new),"Red cherry, wild berries, savory herbs, fine tannins","Duck, lamb, mushroom-based dishes",95 (Bob Campbell MW),,354695,Blank Canvas Anthem Vineyard Pinot Noir 2019
Blank Canvas Wines Settlement Vineyard Pinot Noir 2020,blank-canvas-wines-settlement-vineyard-pinot-noir-2020,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2743cb384e11ef6fb6ce,Thu Dec 12 2024 18:11:15 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2743cb384e11ef6fb6a7_6734e1e74b01a8e2f00d57aa_Blank%2520Canvas%2520Wines%2520Settlement%2520Vineyard%2520Pinot%2520Noir%2520Marlborough%25202020.png,,2020,gravel; clay,pinot-noir,red,355,,Native yeast fermentation,11 months in French oak (30% new),"Raspberry, dark cherry, spice, forest floor","Grilled salmon, game bird, truffle dishes",96 (Cameron Douglas MS),,354697,Blank Canvas Wines Settlement Vineyard Pinot Noir 2020
Bollinger PN AYC18 2018,bollinger-pn-ayc18-2018,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2745c3370326b62086ec,Thu Dec 12 2024 18:11:17 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2744c3370326b6208646_6734e1e7ea5bf88a407e96a0_Bollinger%2520PN%2520AYC18%25202018.png,,2018,chalk,pinot-noir,red,828,,Traditional Champagne method,36+ months on lees,"Ripe apple, brioche, hints of red berries","Oysters, caviar, light creamy dishes",94 (Wine Spectator),,354699,Bollinger PN AYC18 2018
Borgogno Serio & Battista Barolo Riserva del Centenario 1974,borgogno-serio-battista-barolo-riserva-del-centenario-1974,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2743af55d8f98b655316,Thu Dec 12 2024 18:11:15 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2743af55d8f98b655307_673208372a8660abb1b7b29b_Borgogno%2520Serio%2520%2526%2520Battista%2520Barolo%2520Riserva%2520del%2520Centenario%25201974.png,,1974,clay-limestone,nebbiolo,red,788,,"Long maceration, natural yeasts",48+ months in large oak barrels,"Roses, tar, black tea, dried cherries","Truffle pasta, game meats, aged cheeses",Renowned classic vintage,,354701,Borgogno Serio & Battista Barolo Riserva del Centenario 1974
Brezza Barolo 1978,brezza-barolo-1978,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274535c8eb9a8cb08ddd,Thu Dec 12 2024 18:11:17 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274435c8eb9a8cb08dc0_6732083c338db028baa8c958_Brezza%2520Barolo%25201978.png,,1978,sandstone; marl,nebbiolo,red,699,,"Extended maceration, large casks",36+ months in Slavonian oak,"Floral, dried berries, tobacco, earthy undertones","Osso buco, mushroom risotto, aged Parmigiano",Excellent vintage,,354703,Brezza Barolo 1978
Brovia Barolo Brea Vigna Ca' Mia 2018,brovia-barolo-brea-vigna-ca-mia-2018,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27464d4699b29ad769cb,Thu Dec 12 2024 18:11:18 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27464d4699b29ad76917_67385ad12aa3b51fcbee2a00_Brovia%2520Barolo%2520Brea%2520Vigna%2520Ca%2527%2520Mia%25202018.png,,2018,clay-limestone,nebbiolo,red,838,,Extended maceration,24–36 months in large oak barrels,"Roses, tar, red fruit, savory herbs","Truffle dishes, braised beef",95+ (Vinous),,354705,Brovia Barolo Brea Vigna Ca' Mia 2018
Brovia Barolo Garblet Suè 2018,brovia-barolo-garblet-sue-2018,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27450935ed67deddf8ed,Thu Dec 12 2024 18:11:17 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:46 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27450935ed67deddf8d1_67385ad23c6b445a0002ad73_Brovia%2520Barolo%2520Garblet%2520Sue%25CC%2580%25202018.png,,2018,limestone; clay,nebbiolo,red,838,,Wild yeast fermentation,24 months in large oak barrels,"Red berries, violets, tobacco, mineral nuances","Roasted lamb, truffle dishes, tagliatelle",95–97 (Vinous; Wine Advocate),,354707,Brovia Barolo Garblet Sue 2018
"Bruno Desaunay-Bissey, Vosne-Romanée 1993",bruno-desaunay-bissey-vosne-romanee-1993,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2745d68d4adf129db990,Thu Dec 12 2024 18:11:17 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2744d68d4adf129db953_67386df83c6b445a000e0d38_Bruno%2520Desaunay-Bissey%252C%2520Vosne-Romanee.png,,1993,limestone; clay,pinot-noir,red,698,,Natural fermentation,12–18 months in French oak,"Red cherries, sous-bois, earthy minerality","Duck breast, coq au vin, soft cheeses",Excellent; age-worthy vintage,,354709,"Bruno Desaunay-Bissey, Vosne-Romanee 1993"
Cantina Vignaioli Barbaresco 1974,cantina-vignaioli-barbaresco-1974,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27461e44e01bc7c4fa9d,Thu Dec 12 2024 18:11:18 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27451e44e01bc7c4fa7a_67320838ba95d91b9196615e_Cantina%2520Vignaioli%2520Barbaresco%25201974.png,,1974,sand; clay,nebbiolo,red,758,,Traditional fermentation,36+ months in large oak,"Dried flowers, cherries, anise, and earthy spice","Polenta with mushrooms, venison, aged cheeses",Highly regarded vintage,,354713,Cantina Vignaioli Barbaresco 1974
Cantina Vignaioli Barbaresco 1989,cantina-vignaioli-barbaresco-1989,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27460935ed67deddf9c9,Thu Dec 12 2024 18:11:18 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27460935ed67deddf9ae_67320837a8f403004f6e405a_Cantina%2520Vignaioli%2520Barbaresco%25201989.png,,1989,sand; clay,nebbiolo,red,758,,Traditional fermentation,36+ months in large oak,"Roses, red plums, leather, hints of forest floor","Rabbit stew, risotto, mushroom-based dishes",Exceptional vintage,,354715,Cantina Vignaioli Barbaresco 1989
Cantina del Glicine Barbaresco Riserva Speciale Vigna del Marcorino 1985,cantina-del-glicine-barbaresco-riserva-speciale-vigna-del-marcorino-1985,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2747302e0731d32f81a3,Thu Dec 12 2024 18:11:19 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2746302e0731d32f810b_673462405404f4a4d3ca2f21_Cantina%2520del%2520Glicine%2520Barbaresco%2520Riserva%2520Speciale%2520Vigna%2520del%2520Marcorino%25201985.png,,1985,clay-limestone,nebbiolo,red,689,,Traditional fermentation,36+ months in oak,"Dried violets, red currants, truffle, tar","Wild game, braised meats, mature cheeses",Outstanding vintage,,354711,Cantina del Glicine Barbaresco Riserva Speciale Vigna del Marcorino 1985
Casa del Cervo Brunello di Montalcino DOCG Tuscany 1998,casa-del-cervo-brunello-di-montalcino-docg-tuscany-1998,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2747d464bc23eea1b8cd,Thu Dec 12 2024 18:11:19 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2747d464bc23eea1b81c_67320836327d1fb63860632d_Casa%2520del%2520Cervo%2520Brunello%2520di%2520Montalcino%2520DOCG%2520Tuscany%25201998.png,,1998,clay-limestone; marl,sangiovese-grosso,red,699,,"Long maceration, large oak casks",36–48 months in Slavonian oak,"Black cherry, leather, tobacco, and earthy complexity","Bistecca alla Fiorentina, wild boar, Pecorino",Balanced; classic vintage,,354717,Casa del Cervo Brunello di Montalcino DOCG Tuscany 1998
Castello Banfi Chardonnay della Toscana Forza Italia con foto di politici italiani 1989,castello-banfi-chardonnay-della-toscana-forza-italia-con-foto-di-politici-italiani-1989,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274666b985d10e7f5a9d,Thu Dec 12 2024 18:11:18 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:47 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274666b985d10e7f5a92_67386df8102f21ca9caf22d5_Castello%2520Banfi%2520Chardonnay%2520della%2520Toscana%2520Forza%2520Italia%25201989.png,,1989,clay-limestone,chardonnay,white,290,,Barrel fermentation,12 months in French oak,"Yellow apple, vanilla, nutmeg, toasted almond","Creamy pasta, roasted chicken, seafood",Limited-edition novelty wine,,354719,Castello Banfi Chardonnay della Toscana Forza Italia con foto di politici italiani 1989
